Fold #,Percentile,Query ID,Predicted Depth,Reranked All Metric Value,Initial Metric Value,Maximum Metric Value,Depth of Maximum Metric Value,Bin,Metric Value At Predicted Depth,Ratio (Metric at Depth / Reranked All),Ratio (Metric at Depth / Maximum Metric Value)
0,10,1028599,28,7.920982661428224,2.0606124,8.163401890222309,87,0.23~10.53,7.245877022108616,0.9147699637562545,0.8876050841974772
0,10,1087791,28,13.630678014265037,10.017178,13.630678014265037,117,0.23~10.53,11.1093517644029,0.8150256174180426,0.8150256174180426
0,10,559161,28,11.910577769438769,4.7290864,11.910577769438769,859,0.23~10.53,10.032230115371831,0.8422958406865391,0.8422958406865391
0,10,897497,28,10.366754018599917,10.121282,10.553446251603688,428,0.23~10.53,7.115878324789905,0.6864133471309026,0.6742705799736826
0,10,924972,28,8.113518726644532,10.518543,8.815922306406408,347,0.23~10.53,5.832272029496934,0.7188338655513227,0.6615611874504275
0,10,1007959,17,12.05254836162926,16.805826,13.315213137479308,28,10.53~17.33,11.74817068628103,0.9747457826995947,0.8823118762712548
0,10,1040694,17,3.18945462469975,15.979641,3.18945462469975,774,10.53~17.33,0.9871369406794795,0.30950023023839285,0.30950023023839285
0,10,1086332,17,11.643541073585558,12.788483,13.200001456191645,116,10.53~17.33,12.569071702620189,1.0794887588909083,0.9522022966690273
0,10,1086468,17,13.341613187947148,15.759402,13.630678014265037,20,10.53~17.33,12.75151836596528,0.95577035447895,0.9355014000492359
0,10,1101263,17,12.421618608057804,16.035706,12.421618608057804,901,10.53~17.33,7.374359455375908,0.593671379556946,0.593671379556946
0,10,178862,17,13.630678014265037,14.339492,13.630678014265037,14,10.53~17.33,13.630678014265037,1.0,1.0
0,10,19607,17,6.8461611555535535,16.02159,7.484770054209548,93,10.53~17.33,5.04874325232433,0.7374560921968406,0.6745355188947776
0,10,398258,17,10.87380641198622,16.667164,10.87380641198622,127,10.53~17.33,9.06933611537069,0.8340534833665553,0.8340534833665553
0,10,636551,17,12.540583192283169,13.11422,12.540583192283169,136,10.53~17.33,11.780006876302298,0.9393508017674258,0.9393508017674258
0,10,706487,17,12.66569555439472,13.466305,13.040583192283169,340,10.53~17.33,5.859024214874074,0.4625900085559155,0.4492915791021663
0,10,780850,17,13.630678014265037,14.764512,13.630678014265037,60,10.53~17.33,8.535701675994911,0.6262125528210677,0.6262125528210677
0,10,1092032,18,6.922818895979957,20.310146,6.922818895979957,861,17.33~24.37,4.431959749235439,0.6401958242485664,0.6401958242485664
0,10,1096044,18,13.630678014265037,20.954517,13.630678014265037,17,17.33~24.37,13.630678014265037,1.0,1.0
0,10,424474,18,1.2317065537373744,22.28716,2.9671660104124484,56,17.33~24.37,2.449828205783043,1.9889706670387644,0.8256458173172815
0,10,581877,18,12.692814977828087,18.094032,12.692814977828087,640,17.33~24.37,4.974235896161738,0.3918938316560017,0.3918938316560017
0,10,821068,18,13.630678014265037,17.694773,13.630678014265037,29,17.33~24.37,9.114509237886256,0.6686761457021849,0.6686761457021849
0,10,1084129,20,9.942135293389963,25.971066,9.942135293389963,534,24.37~33.10,8.61741944971847,0.8667574113025568,0.8667574113025568
0,10,925286,20,9.934886890631772,25.69078,10.235916886295753,27,24.37~33.10,9.758790740070442,0.9822749717737218,0.9533870632669843
0,10,993211,20,9.990587445669451,32.37305,9.990587445669451,626,24.37~33.10,5.880418868114831,0.5885959059057908,0.5885959059057908
0,10,996579,20,12.031332225397405,25.46448,12.031332225397405,224,24.37~33.10,11.734574240144733,0.9753345697971639,0.9753345697971639
0,10,1032081,12,3.0070698857492903,35.30045,3.538553940861261,288,33.10~44.22,2.1309297535714578,0.7086399167741593,0.6022035524072874
0,10,1046828,12,3.7533279132226793,34.398056,4.455645597242949,15,33.10~44.22,4.152145889803314,1.1062571631899334,0.9318842352211688
0,10,1094971,12,13.341613187947148,42.79253,13.630678014265037,282,33.10~44.22,9.720736191455847,0.728602759989893,0.7131513326983967
0,10,1096092,12,11.774570736748869,34.165123,12.739553196619186,156,33.10~44.22,8.472085511897927,0.7195239386057817,0.6650221857189028
0,10,490967,12,13.329648018601056,37.44201,13.630678014265037,49,33.10~44.22,9.666771961378048,0.725208343677823,0.7091923051268172
0,10,857916,12,12.630678014265037,39.91699,12.669941124053397,267,33.10~44.22,1.2201861405678749,0.09660495970127665,0.09630558884377122
0,10,899937,12,13.630678014265037,36.92168,13.630678014265037,0,33.10~44.22,13.630678014265037,1.0,1.0
0,10,1003368,13,13.243825207030495,49.943825,13.630678014265037,40,44.22~62.86,8.889899010650801,0.6712485910740947,0.6521978584885634
