Fold #,Percentile,Predicted Depth,Reranked All Metric Value,Initial Metric Value,Maximum Metric Value,Depth of Maximum Metric Value,Metric Value At Predicted Depth,Ratio (Metric at Depth / Reranked All),Ratio (Metric at Depth / Maximum Metric Value)
0,10,1,3.0070698857492903,3.0070698857492903,3.538553940861261,288,1.6309297535714575,0.5423650980978344,0.4609028944672523
0,10,1,3.18945462469975,3.18945462469975,3.18945462469975,774,2.2430599943425635,0.7032738377815052,0.7032738377815052
0,10,1,3.7533279132226793,3.7533279132226793,4.455645597242949,15,2.5742908539564704,0.685868891147892,0.5777593387475392
0,10,1,5.14527201342591,5.14527201342591,8.08511611204912,322,5.9950998974842955,1.1651667553903606,0.7414983055778128
0,10,1,5.024407690378696,5.024407690378696,5.024407690378696,79,2.1359351507985416,0.4251118305723224,0.4251118305723224
0,10,1,1.2317065537373744,1.2317065537373744,2.9671660104124484,56,2.5070698857492903,2.0354441389810534,0.8449375184777064
0,10,1,4.997288266945328,4.997288266945328,5.271918212141468,12,4.2494891145433735,0.8503590122370389,0.8060612747664799
0,10,1,2.7201861405678747,2.7201861405678747,4.092919138072481,51,3.3613531161467862,1.2357070224043785,0.8212605728951151
0,10,1,3.1567065308538043,3.1567065308538043,5.148089041191962,18,3.7816139352038247,1.1979618308645879,0.7345665362322966
0,10,1,4.297596420238125,4.297596420238125,9.13420902987709,17,7.440422939777055,1.731298663769082,0.8145667474260958
0,10,10,6.495452032393595,6.495452032393595,7.131473078933742,120,3.4157110250334464,0.5258619427868743,0.47896289970208294
0,10,10,6.388615819488755,6.388615819488755,9.148003145450357,113,8.353409558311744,1.3075460779515493,0.91314021491851
0,10,10,6.717295890504302,6.717295890504302,6.717295890504302,540,5.569959388556187,0.8291966707064353,0.8291966707064353
0,10,10,6.8326241644062335,6.8326241644062335,6.8326241644062335,138,5.8004993437457815,0.8489416663604612,0.8489416663604612
0,10,10,6.922818895979957,6.922818895979957,6.922818895979957,861,4.446394630357187,0.6422809403463066,0.6422809403463066
0,10,10,6.8461611555535535,6.8461611555535535,7.484770054209548,93,4.910657717261977,0.717286316475108,0.6560866508517719
0,10,10,6.864396850157386,6.864396850157386,8.562821099428277,0,8.412457793033678,1.225520315428849,0.982439980393303
0,10,10,6.846856557172109,6.846856557172109,11.37056884593225,13,10.436232006188453,1.5242369865710796,0.9178284875274249
0,10,10,6.239566963927731,6.239566963927731,7.688923972781549,13,7.156620635112198,1.146973928877781,0.9307701130153346
0,10,10,7.010254151571571,7.010254151571571,9.413998917962244,166,9.134442182956066,1.3030115578489108,0.9703041462568289
0,10,14,7.920982661428224,7.920982661428224,8.163401890222309,87,7.399766525196368,0.9341980460618915,0.9064562329167473
0,10,14,7.80163950154093,7.80163950154093,8.376242957483553,152,6.207323081247354,0.7956434131596728,0.7410629219752479
0,10,14,7.468966086184148,7.468966086184148,7.468966086184148,318,5.3610887033962795,0.7177819046886621,0.7177819046886621
0,10,14,8.216851134327708,8.216851134327708,9.220956172174708,138,6.974235896161738,0.8487723316569932,0.7563462797065769
0,10,14,7.461372836841218,7.461372836841218,7.461372836841218,23,7.061341898894345,0.9463864161871548,0.9463864161871548
0,10,14,7.635632752850816,7.635632752850816,10.310207740252224,16,9.732078087616449,1.2745607865940005,0.9439264787673781
0,10,14,7.466556751077204,7.466556751077204,7.466556751077204,494,4.892789260714372,0.6552939224641248,0.6552939224641248
0,10,14,8.113518726644532,8.113518726644532,8.815922306406408,347,4.3433441277875025,0.5353218836513067,0.49267041800393985
0,10,11,8.559972811990695,8.559972811990695,8.559972811990695,433,6.026135637717335,0.7039900441361221,0.7039900441361221
0,10,11,8.855590639448218,8.855590639448218,8.855590639448218,140,2.1202170785147487,0.23942130625031433,0.23942130625031433
0,10,11,8.889553242386327,8.889553242386327,9.178618068704216,67,7.939725036603284,0.8931523126208231,0.8650240131109593
0,10,11,9.0429500787531,9.0429500787531,9.077226943742447,28,7.587475710194492,0.8390487223878054,0.8358803583097653
0,10,11,9.160842233423908,9.160842233423908,9.50261453941018,129,8.071671742169094,0.8811058564810879,0.849415885353811
0,10,11,8.564423339410903,8.564423339410903,9.699013374652765,12,9.118414010241334,1.0646851105877886,0.940138306652019
0,10,11,9.02163403292939,9.02163403292939,9.746825570724347,105,7.750437663159106,0.8590946645440996,0.7951755786456659
0,10,11,8.845377356638178,8.845377356638178,12.4504883703013,13,11.81955861672984,1.3362413088978766,0.9493248991680964
0,10,15,9.851665945027309,9.851665945027309,9.851665945027309,17,9.087297193185591,0.9224122340214411,0.9224122340214411
0,10,15,9.480790723718563,9.480790723718563,10.46335142962182,41,8.850382753865262,0.9335068151777489,0.8458458853642025
